nome,genero,nascimento,cpf,cep,estado,cidade,rua,email,telefone,crmv,especialidade
Orrin Roby,F,1976-09-10,38214037276,36577949,PE,Jaboatão dos Guararapes,Carlos Drummond,orobyi@seesaa.net,81993644389,49786,Farmácia Veterinária
Meggie O'Kennavain,M,2000-04-13,11143431869,26389762,PE,Jaboatão dos Guararapes,Acaiaca,mokennavainj@cpanel.net,81966277828,53482,Fisioterapia Veterinária
Sharleen Kitchin,F,2022-04-01,51631992203,84407100,PE,Paulista,Rua Setúbal,skitchink@indiegogo.com,81929919604,62592,Vigilância e Inspeção
Zebulen Audsley,M,2000-02-18,37960284827,59071375,PE,Camaragibe,Avenida Conselheiro Aguiar,zaudsleyl@ed.gov,81931568559,40196,Pesquisa
Lem Shard,M,1949-04-20,85349033383,83170075,PE,Igarassu,Pastor José Joaquim dos Santos,lshardm@google.com.br,81907967745,63274,Laboratorial
Wang Mattocks,M,1953-12-25,62879864650,30477308,PE,Jaboatão dos Guararapes,Avenida Conselheiro Aguiar,wmattocksn@usgs.gov,81990905243,74331,Vigilância e Inspeção
Freedman Paddie,F,1972-08-11,81964268847,42197015,PE,Paulista,Sertanópolis,fpaddieo@bloglines.com,81939141045,15851,Cuidado com Animais Silvestres
Brittani Pero,F,2015-10-23,63254039413,10521849,PE,Camaragibe,Dom Lustosa,bperop@cpanel.net,81957913774,54717,Pesquisa
Reeta Fenby,F,2020-12-10,32345754355,42521589,PE,Olinda,Avenida Conselheiro Aguiar,rfenbyq@toplist.cz,81929476258,83395,Anestesia
Janos Trask,F,2021-06-20,86552160537,36120731,PE,Recife,Carlos Drummond,jtraskr@intel.com,81989994804,80230,Vigilância e Inspeção
Juan Iacovelli,F,1956-10-09,99645867381,66273764,PE,Jaboatão dos Guararapes,Carlos Drummond,jiacovellis@technorati.com,81929455698,95480,Responsável Técnico em Zoológico
Nils Blaxland,M,2012-02-23,98814280147,90426247,PE,Jaboatão dos Guararapes,Rua Setúbal,nblaxlandt@storify.com,81959562426,85224,Anestesia
Valida Shury,F,1958-01-30,18168251683,3570380,PE,Camaragibe,Avenida Boa Viagem,vshuryu@fc2.com,81906417785,23612,Anestesia
Eldin Redhole,F,1980-04-12,56408974218,84776383,PE,Recife,Pastor José Joaquim dos Santos,eredholev@xing.com,81926466181,86796,Responsável Técnico em Zoológico
Saxe Merner,M,1946-08-09,13812956516,8905024,PE,Paulista,Abigail Bastos Russell,smernerw@va.gov,81988013327,5339,Anestesia
Tudor Crosgrove,F,1934-09-25,22591658927,15914441,PE,Igarassu,Garanhuns,tcrosgrovex@nsw.gov.au,81933550710,69479,Laboratorial
Farra Newlove,M,1932-12-26,22340476963,1827538,PE,Olinda,Abigail Bastos Russell,fnewlovey@state.gov,81988343796,24272,Responsável Técnico em Zoológico
Harrietta Jecks,F,1994-10-19,93589925723,8181596,PE,Igarassu,Visconde de Itaboraí,hjecksz@1688.com,81970572377,36538,Anestesia
Hollis Drinkale,M,2006-03-25,54684320878,50304327,PE,Igarassu,Dom Lustosa,hdrinkale10@mapquest.com,81963645901,74643,Cuidado com Animais Silvestres
Jan Gatteridge,F,2005-11-26,80245202272,8702473,PE,Olinda,Avenida Boa Viagem,jgatteridge11@w3.org,81901539616,70352,Responsável Técnico em Zoológico
Zebulon De Blase,F,1999-08-20,71673931157,6588855,PE,Jaboatão dos Guararapes,Rua dos Navegantes,zde12@jiathis.com,81987752758,75168,Vigilância e Inspeção
Tim Kobke,F,1994-09-20,64397649249,27749763,PE,Camaragibe,Garanhuns,tkobke13@utexas.edu,81929601230,4048,Anestesia
Rebe Hagerty,M,2008-01-06,72769914685,84599689,PE,Jaboatão dos Guararapes,Vicente de Carvalho,rhagerty14@sun.com,81990768971,78237,Anestesia
Eadith Sone,F,1971-12-16,28075681650,22912504,PE,Carpina,Rua dos Navegantes,esone15@admin.ch,81930648610,2367,Vigilância e Inspeção
Rourke Revill,F,1950-06-25,45204523720,60548209,PE,Camaragibe,Avenida Conselheiro Aguiar,rrevill16@slate.com,81918608202,56564,Clínica e Cirúrgica
Shoshanna McOnie,F,1979-07-19,13966105450,68898017,PE,Abreu e Lima,Avenida Engenheiro Domingos Ferreira,smconie17@booking.com,81951613107,93651,Farmácia Veterinária
Leticia Edgerley,F,2001-01-15,15247487505,29682334,PE,Igarassu,Dom Lustosa,ledgerley18@webs.com,81947091494,40236,Farmácia Veterinária
Tucky Webb,F,1959-02-13,71813738724,57288818,PE,Recife,Osvaldo Freire,twebb19@ebay.com,81945660788,50918,Agronegócio e Produção Animal
Ezri Bogie,F,1975-06-28,64754385866,75434818,PE,Olinda,Avenida Governador Agamenon Magalhães,ebogie1a@oakley.com,81935857121,39681,Laboratorial
Adrianne Prator,F,1959-09-28,57612960579,57332455,PE,Carpina,Avenida Engenheiro Domingos Ferreira,aprator1b@addtoany.com,81909826842,71025,Agronegócio e Produção Animal
Raimund Dael,M,1991-03-16,78705765236,46411682,PE,Paulista,Rua dos Navegantes,rdael1c@go.com,81944609885,72612,Anestesia
Cyrille McCahey,M,1958-01-24,83862547604,87764068,PE,Igarassu,Abigail Bastos Russell,cmccahey1d@goodreads.com,81943335706,78122,Vigilância e Inspeção
